company,job_type,salary
"浮云科技,网易游戏,好布好,易眸定制,酷帮,上海特资网络科技,杭州蜗牛,星飞,黑狐游戏,蜂派游戏,游鹿网络,魔数科技,杭州新苗网络,电魂,杭州蜗牛,浮云科技,凌笛数码,杭州竞技世界,九峰阁游戏,新苗网络,海象科技,维讯机器人,天鸽互动,阿拉丁信息科技,杭州惟真科技有限公司,阿优文化,掌奇科技,寰聚网络,杭州紫蝶,游卡桌游",U3D,16.52
"馒头金融App,REBON,杭州博誉,杭州科利环保有限公司,零域信息技术,杭州华睿信息技术,杭州海康威视,心仪宠物医院,瑞友科技,中焯信息,阿里巴巴集团,中焯信息,瑞亚集团,杭州海康威视,万睿科技,高预美,利珀,蚂蚁金服,阿里巴巴集团,杭州华睿信息技术,蚂蚁金服,天猫,颜植乐园,好机惠信息技术,美菜网,加洲科技,杭州良益农业,天正思维,高预美,安崎环保",其他技术职位,13.32
"筑森,禾连健康,杭州致梦,浙江宇视科技,奇单,南京奥拓,联想云,华途股份,厨芯,杭州三汇,浙江天健远见,杭州游艺科技有限公司,利珀,新中大,泰林生物,杭州策成科技,欧伦电气,沃朴物联科技,杭州海康威视,艾罗网络能源技术,厨芯,生物科技,阿里云,笛虎,乐绫数码,杭州游艺科技有限公司,安恒信息,康奋威,rokid,皓天信息",售后工程师,7.58
"拓源网络,领图,LifeSmart,绿盟科技,OK无忧,思福迪,杭州诚泰科技有限公司,凯翔信息技术,远算科技,海康威视,斑马数智,木链科技,浙江通得科技,恒生电子,杭州海康威视,的卢深视科技,星汉信息,浙江佳舜,海康威视,医源科技,杭州诚泰科技有限公司,安恒信息,浙江日报,海康威视,弗兰科,浙江大华,国优粮,一九八一科技,中奥科技,浙江托普云农",售前工程师,11.53
"和医源,徐娜拉电商,得图网络,导途吧,数腾科技,橙鹰,全知科技,阿里巴巴集团,蚂蚁金服,CityDO,麦歌算法,吉佩斯机器人,牛吧云播,派拉软件股份,很赞,蚂蚁金服,浙江宇视科技,蓝芯科技,捷尚视觉,数腾科技,景怡研究,兴业银行杭州分行,时间线科技,飞秒科技,杭州谷航科技,华为,垒亿资管,中天微,很赞,梧斯源",算法研究员,23.07
"浙江古川,亿教亿学,口袋鼠,国誉信睿,杭州视在,大盒子,国米网络科技,古川科技,天启华韵,新光互联,开心果网络,阿里巴巴集团,口袋鼠,大盒子,蜜迩科技,欢乐飞机器人,朴器科技,利珀,扳手网络,临智而安,听花科技,丽声,瑞卜特,正品控,沃朴物联科技,天玑科技,创因网络科技,奇志信息科技,华为,rokid",图像识别,21.27
"微医集团,杭州云嘉云计算,九州量子,登虹公司,网易,临智而安,筑家易中国,艾米机器人,rokid,朴器科技,同盾科技,九州量子,杭州云嘉云计算,登虹公司,皮咻智能,天玑科技,华为,rokid,数美,浙江大华,登虹公司,杭州云嘉云计算,蚂蚁金服,橙鹰,阿里巴巴集团,易卡汇,中天微,51信用卡管家,华为,海康威视",语音识别,23.52
"杭州比智科技有限公司,浙江中控,顺网科技,浙江宇视科技,杭州纬禄信息,浙江东驰科技,ZoomVideo,浙江大华,英库科技,脉流科技,术康医疗,易思维,盈盈理财,天壤智能,乐刻运动健身,顺网科技,杭州过夹夹家居,浙江古川,亿教亿学,亲宝宝,zienon,易思维,小影,易思维,七巧板,新华三技术有限公司,浙江大华,展拓智控,量知数据,壳牌浙江",图像处理,18.37
"杭州比智科技有限公司,浙江大华,视氪科技,知衣科技,智成科技,杭州视在,星悦艺术,阿里云,有盾网络,瑞杰珑科技,光云科技,盛达物联科技,数睿科技,视氪科技,艾芯智能,非白,视氪科技,ArcSoft虹软公司,登虹公司,rokid,杭州视在,数为科技,集光安防,爱玖,网易杭州,浙江同硕科技,光珀智能科技,杭州立方控股,菜鸟网络,海康威视",图像算法,21.52
"蓝芯科技,九州量子,菜鸟网络,中天微,图普科技,杭州明霖,杭州智链达,网易杭州,ZoomVideo,云犀,rokid,网易,阿里巴巴集团,菜苗科技,华为,登虹公司,浙江大华,杭州视在,同盾科技,朴器科技,ArcSoft虹软公司,华为,图普科技,阿里巴巴集团,宇泛智能,有教信息,涂鸦智能,华为,舜宇智能光学,in",深度学习,26.52
"网易杭州,蚂蚁金服,阿里巴巴集团,智成科技,浙江华为,天猫,国辰迈联,深知人工智能,浙江中控,掌众金融,婚礼纪,阿里云,天壤智能,阿里巴巴集团,蚂蚁金服,吉利集团,杭州比智科技有限公司,阿里巴巴集团,51信用卡管家,中天微,深知人工智能,小影,同盾科技,好睡眠365,支付宝口碑,阿里巴巴集团,蚂蚁金服,菜鸟网络,点我达,贝贝网",机器学习,26.13
"皓创科技,锦瀚科技,谷点科技,浙江网安,杭州梓渊,亚速科技,星河影像,赋人科技,云喜文化,润生科技,新异网络,酒钥匙,家涵科技,乐感科技,创衣工场,杭州格珞搏网络科技,浙江网安,新尚人,企鹊桥,缘点网络科技,爱拼机,杭州新苗网络,圣淘电商,可可景观,杭州晶彩,欢乐飞机器人,爱拼团,未景科技,十禾科技,INCH照相馆",技术合伙人,26.80
"风先生,浙江天健远见,新盛蓝科技,可溯,江苏达科,乐值网,联合创展,萤石网络,浙江万昌医药",运维总监,24.83
"爱拼机,360教育在线,轻松筹,拼便宜,图彩网络,店司令,地道甄选,金正,导途吧,浙江泊金科技有限公司,杭州视在,新苗网络,第一好车,汤氏集团,绿伽网络,鑫合汇,心猫科技,风数机场云,拾贝,杭州视在,众凡科技,杭州视在,银承库,旅途点点,庆千科技,地道甄选,帕摩数据,联合创展,杭州毫米,新异网络",CTO,34.95
"大乘科技,科蓝软件,阿里巴巴集团,杭州阔知,蚂蚁金服,满兜理财,有赞,数梦工场,杭州如云,杭州海康威视,阿里巴巴集团,拼便宜,蚂蚁金服,蚂蚁金服,浙江大华,吉利集团,有赞,青凡电气设备,阿里巴巴集团,脉流科技,会友科技,滴滴出行,顶象技术,蚂蚁金服,阿里巴巴集团,有赞,恒生电子,青凡电气设备,雷数科技,北京宝袋",架构师,31.90
"杭州铭信信息科技,云徙科技,辛巴信息,他山网络,新盛蓝科技,企朋,禾连健康,申通瑞盛,杭州天音计算机,ArcSoft虹软公司,杭州慧融,浙江聚贸,杭州衣科,科顿智能科技,四喜,吉利集团的蓝科技,闪宝科技,当贝网络,软库科技,盘丝洞网络,优橙科技,杭州铭信信息科技,橙鹰,浙江聚贸,吉利集团的蓝科技,新移传媒,中恒电气,米若网络,备胎好车,云宝宝",测试经理,18.28
