company,job_type,salary
"微贷网,杭州海康威视,有赞,黄灯科技,云族佳科技,娱人科技,正经事理财平台,乐推集团,万轩金服,小桔便利,元旨科技,爱彼此,云族佳,金蛹科技,泰元网络,纸箱哥,口袋鼠,新尚人,天邮科技,新移传媒,宇为科技,杭州优量科技,霖梓网络,风鼎科技,边锋,卓梦芸创,上海睿民科技,通通理财,上下网,棒米科技",iOS,12.27
"有赞,德科,娱人科技,掌优科技,蒂范德,黄灯科技,智成科技,云族佳科技,杭州掌动科技有限公司,海康威视,世园圣泓,小桔便利,金蛹科技,华信永益,风步科技,大搜车,泰元网络,杭州明霖,云族佳,bong,零域信息技术,新尚人,嘉沃教育科技,道顺科技,桌云科技,中软国际,杭州盈软科技有限公司,橙鹰,信运科技,上海澜盾",Android,12.03
"地心引力,凯捷,梦启科技,店司令,浙江古川,奔展信息,青友汇,慧一舍游戏,卓梦芸创,智玩网络,云上科技,掌连信息科技,掌优科技,哲信信息,百泰控股,黑洞创意,熠宸信息,奔展信息,帅拓网络,淘顶网,皓创科技,年糕妈妈,资通科技,齐集科技,九懿科技,杭州金通科技,惠合,国羽银融,巨掌广告,纹乐",HTML5,12.97
"智课网,婚礼纪,中国农业网,全知科技,天壤智能,阿里巴巴集团,浙江慧优科技有限公司,恒生聚源,巨丰家居,智课网,滴滴出行,火石创造,智课网,曼伟餐饮,未来酒店,天机,ArcSoft虹软公司,颀财网络,贝豪婴童,恒生聚源,质子科技,筑龙信息,禄采数据采集,火石创造,昆山华信,乐其网络,腾盛,蚂蚁金服,西柚科技,橙瓜",数据采集,11.88
"登虹科技,匠悦网络科技,浙江大华,海康威视,华为,浙江宇视科技,心动情感咨询,萤石,九州量子,漂流屋科技,杭州小谷粒,猫屎星球,数为科技,阿里云,乐派文化创意,宝杰资本,岩华文化,华创凌云,老板电器,橙盛网络科技,隐野品牌策划,红杉树,华为,在隐生态旅游,杭州惟真科技有限公司,浙江网红文化传媒,搜房网房天下,浙江华为,杭州宸耀网络,宁盟派",语音/视频/图形开发,12.65
"霖梓网络,新华三技术有限公司,好卓数据,好络维,杭州岸达,网易杭州,映兔,阿里巴巴集团,中控智慧,视氪科技,霖梓网络,九州量子,支付宝,天猫,CityDO,微拍堂,蚂蚁金服,司塔科,徐娜拉电商,阿里巴巴零售通,上海微闯科技有限公司,拼便宜,菜鸟网络,盛达物联科技,蚂蚁金服,桃树科技,图歌科技,棒米科技,南江机器人,睿达科技",算法工程师,23.10
"梦启科技,新致软件,码虫网络,湖州博游,边锋,涂鸦智能,杭州罗万信息,梦启科技,游卡桌游,数蛙科技,玩大网络,风先生,远算科技,边锋,阿里云,伊电园,袋鼠云,杭州数澜科技有限公司,涂鸦智能,湖州博游,云证网络,又拍云UPYUN,笑联科技,玩大网络,快送哥,风先生,杭州罗万信息,袋鼠云,杭州罗万信息,浙江新再灵",Erlang,18.50
"宝宝树,徐娜拉电商,网易杭州,大搜车,有贝网络,团创科技,贝贝网,智孵科技,网易游戏,杭州明霖,杭州比智科技有限公司,智集广达网络,天机,垂衣,小影,龙席网络,阿里巴巴集团,网易,聚划算,嗨趣网络科技,杭州华律,小影,云分身科技,天鸽集团,华为,摸象大数据,美图公司,阿里巴巴集团,网易杭州,映兔",推荐算法,28.00
"阿里巴巴集团,司塔科,遥望网络,盈盈理财,朗通,鸟瞰智能,顺网科技,阿里巴巴集团,久久基因,阿里巴巴集团,量知数据,数睿科技,远传技术,杭州朗目达,橙瓜,夏诺科技,杭州明霖,阿里巴巴集团,数睿科技,欢乐飞机器人,临智而安,亲宝宝,菜鸟网络,腾盛,阿里巴巴集团,金科汤姆猫,杭州明霖,艾米机器人,同盾科技,夏诺科技",自然语言处理,23.73
"锐傲科技,蚂蚁金服,火视科技,招财猫理财,蜂语科技,招财猫易贷,微丝里科技,和祥行,有赞,杭州靓音科技有限公司,齐车大圣,浙江大华,壹算,浙江信马科技有限公司,播购,极木科技,杭州高节,招财猫理财,爱果酱,全民直播,杭州朗目达,浙江信马科技有限公司,雷数科技,好地网,百得思维,播购,杭州复睿,阿里巴巴集团,云象网络,冰远科技",Golang,16.85
"宝宝树,天猫,微医集团,菜鸟网络,有赞,爱玖,酷家乐,阿里巴巴集团,天壤智能,网易,杭州锦荟,阿里巴巴零售通,智集广达网络,支付宝口碑,云汽配配,天机,酷家乐,网易,阿里巴巴集团,酷家乐,网易,慧泉众康,华为,格格家,天猫,兑吧,吉利集团,支付宝口碑,酷家乐/群核,阿里巴巴集团",搜索算法,29.20
"自善互联,魔方VR,杭州数澜科技有限公司,rokid,天猫,点我达,有赞,阿里巴巴1688,全民直播,阿里巴巴集团,百e国际,朗熙和,零代码,猫小贩,趣摩科技,有赞,蚂蚁金服,有赞,有赞,有赞,全民直播,有赞,有赞,有赞,福明贸易,杭州数澜科技有限公司,腾盛,阿里巴巴集团,有赞,有赞",Node.js,20.05
"途客邦,火铺,睿数科技,哈希网络,中电博亚,聚源金融,誉渡,有咖,花样科技,智屏电子商务,草莽科技,梵美科技,Abaco,哈希网络,艺财富,顺文,聚源金融,聚源金融,浙江北鼎网络,杭州必投,泛友网络,阿里巴巴集团,杭州联星贸易有限公司,启舰科技,杭州海康威视,远图互联,创因网络科技,西柚科技,魔品科技,曲正科技",Ruby,14.97
"杭州必投,匡信科技,格爱网络,杭州赫码科技有限公司,华云中盛,钧信保安,阿里巴巴集团,简悦网络,匡信科技,蚂蚁金服,匡信科技,杭州星吼网络科技,百得思维,人人爱家金融,杭州数澜科技有限公司,星数科技,阿里集团,亮剑天下集团,武汉佰钧成,远算科技,华云中盛,杭州宸鹫,杭州必投,云信众成,杭州铭师堂,rokid,万商汇,华云中盛,鑫合汇,阿里巴巴集团",Perl,15.50
"优灿公司,柯铭智能,惜尔信息,东山软件,无惑,中安电子,遥望网络,星黎科技,杭州智德(金蝶),鼎象科技,塔塔,杭州彩谱科技,优灿公司,优灿公司,中控教仪,万盘尖,杭州心景科技有限公司,金卡股份,艾罗网络能源技术,佑逸,优灿公司,优灿公司,塔塔,芯耘光电,群队,鑫合汇,千仞科技,柯铭智能,杭州正大,金卡股份",VB,11.30
"喜柿科技,品茗股份,中焯信息,税友软件集团,博库网络,环思智慧,易宝软件,纬创,博库网络,硕梦,税友软件集团,中焯信息,汇金智融,深大智能,品茗信息,华云科技,纬创,同帆科技,同帆科技,中焯信息,硕梦,领先科技,微医集团,新力软件,深大智能,硕梦,品茗信息,同帆科技,博库网络,家泰软件",Delphi,10.53
"通明传媒,凡闻科技,天玑科技,古语科技,杭州软通动力,西柚科技,秀娱科技,曲正科技,网易游戏,汇玩信息科技,杭州追灿科技,币猫,杭州软通动力,欧歌科技,艾锝信息,数美科技,微著网络,海康威视,神中科技,火视科技,小币哥,西柚科技,览众数据,小码教育,杭州河象,海康威视,百得思维,微著网络,嘉云数据,飞秒科技",Python,13.90
"阿里云,青兴科技,天阙,北京宇信科技有限公司,思特奇,个推,吉利集团,网易,贝贝网,佰安信息,华为,宇信科技,浙江执御,有赞,凡闻科技,吉利集团,浙大网新,爱财集团,华为,阿里巴巴集团,佰安信息,佰安信息,二维火,七巧板,贝贝网,达摩网络,有赞,华为,牛板金,杭州海康威视",Hadoop,20.63
"杭州软通动力,古珀,圣博,美窝科技,金爵实业,百师通,汇图网,新文进出口,新中大科技,体光医学,先手科技,会友科技,日聚电商,杭州铭师堂,麦麦科技,横盛网络科技,海明控股Mitti,晖鸿科技,蓝鸽集团,九仟科技,米猪控股,汉克时代,南拓科技,举品电子,中国农业网,慧博云通,恒颜互联网,杰驰科技,国颐康,杭州汉脑信息科技",.NET,10.97
"杭州芒极科技有限公司,杭州致梦,全网云医疗,阿里巴巴集团,浙江厚达智能科技股份,量道投资,微云通信,通策集团,Nextlabs,浙江贯通,银平信息科技,招财猫理财,杭州视在,杭州辛孚,杭州小信,纽联科技,浮云科技,投星信息,圣博,美窝科技,Nextlabs,杭州畅趣网络,优灿公司,拓境,瑞银电子,中控教仪,迈可行,杭州岁丰,云联体科际,浙江宇视科技",C#,12.53
"京北方,海康威视,杭州同太科技有限公司,杭州亚信软件,承联通信,蜂语科技,杭州软通动力,锴翔科技,ArcSoft虹软公司,海康威视,信雅达科技,恒强科技,恒生电子,新华三技术有限公司,杭州软通动力,杭州软通动力,杭州复睿,声讯网络(灵声机器人),宇泛智能,霍尔果斯极致网络科技,海康威视,新华三技术有限公司,京东金融,杭州众望科技有限公司,阿里巴巴集团,新华三技术有限公司,浙江宇视科技,恒生电子,中正智能科技,FDT金融创新工场",C,15.87
"创因网络科技,阿里巴巴集团,nala,币尔大数据,婚礼纪,稻本,橙鹰,浙江大华,阿里巴巴集团,数擎,阿里巴巴集团,爱财集团,徐娜拉电商,蚂蚁金服,昆山华信,优创信息,橙鹰,橙鹰,浙富,好德投资,杭州铭师堂,执御,天猫,徐娜拉电商,阿里云,阿里巴巴集团,橙鹰,蚂蚁金服,杭州海康威视,杭州铭师堂",数据挖掘,22.27
"微谷小镇,云族佳科技,杭州阔知网络,创匠科技,杭州软通动力,热讯,跟屁虫影视,云族佳,艾玩科技,杭州盈软科技有限公司,叮咚电商,钜智巨通,动静科技,小码教育,中财,鑫斗云,杭州缅桃科技,筑家易中国,百泰控股,杭州盈软科技有限公司,瓯云科技,杭州执着梦科技,杭州畅禾,贝嘟科技,天唯科技,心锚,万乾,拓米科技,Caicloud,涡流科技",PHP,10.73
"融都科技,阿里巴巴集团,天鸽互动,杭州海康威视,零域信息技术,浙江大华,京图科技,通号万全,奥点科技,鹰泊品牌管理,中控信息,同花顺,杭州蜗牛,中标慧安,杭州掌盟,杭州海康威视,安司密信,简悦网络,华为,捷信安保,中软国际,阿里巴巴集团,杭州小信,量道投资,杭州亚信软件,海康威视,网足科技,元亨网络科技有限公司,门链科技,武汉佰钧成",C++,16.42
